ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
boucle;2;6;19.08;NC;rares;long;CVVCCV;CVCC;0
bravo;2;5;98.65;INT;frequents;court;CCVCV;CCVCV;0
brioche;2;7;52.41;NC;frequents;long;CCVVCCV;CCVYVC;0
brun;2;4;25.74;ADJ;rares;court;CCVC;CCV;0
bu;2;2;63.83;VER;frequents;court;CV;CV;0
bulle;2;5;8.18;NC;rares;court;CVCCV;CVC;0
cabine;2;6;13.47;NC;rares;long;CVCVCV;CVCVC;1
crabe;2;5;54.23;NC;frequents;court;CCVCV;CCVC;0
lavabo;2;6;51.17;NC;frequents;long;CVCVCV;CVCVCV;1
oublié;2;6;82.78;VER;frequents;long;VVCCVV;VCCVYV;0
robe;2;4;256.91;NC;frequents;court;CVCV;CVC;1
sable;2;5;68.58;NC;frequents;court;CVCCV;CVCC;0
table;2;5;479.89;NC;frequents;court;CVCCV;CVCC;0
tube;2;4;31.64;NC;rares;court;CVCV;CVC;1
frigo;2;5;0.62;NC;rares;court;CCVCV;CCVCV;0
galope;2;6;8.96;VER;rares;long;CVCVCV;CVCVC;1
gare;2;4;147.84;NC;frequents;court;CVCV;CVC;1
grappe;2;6;46.7;NC;frequents;long;CCVCCV;CCVC;0
griffe;2;6;0.42;NC;rares;long;CCVCCV;CCVC;0
gris;2;4;107.63;ADJ;frequents;court;CCVC;CCV;0
grotte;2;6;21.87;NC;rares;long;CCVCCV;CCVC;0
groupe;2;6;5.45;NC;rares;long;CCVVCV;CCVC;0
grue;2;4;28.6;NC;rares;court;CCVV;CCV;0
légume;2;6;22.32;NC;rares;long;CVCVCV;CVCVC;1
ogre;2;4;47.53;NC;frequents;court;VCCV;VCC;0
rigolo;2;6;0.5;ADJ;rares;long;CVCVCV;CVCVCV;1
tigre;2;5;84.58;NC;frequents;court;CVCCV;CVCC;0
bague;2;5;131.23;NC;frequents;court;CVCVV;CVC;0
guérir;2;6;8.23;VER;rares;long;CVVCVC;CVCVC;0
gui;2;3;3.67;NC;rares;court;CVV;CV;0
guide;2;5;11.87;NC;rares;court;CVVCV;CVC;0
guitare;2;7;189.79;NC;frequents;long;CVVCVCV;CVCVC;0
vague;2;5;25.24;NC;rares;court;CVCVV;CVC;0
