ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
pédale;1;6;35.56;NC;rares;long;CVCVCV;CVCVC;1
pétale;1;6;32.36;NC;rares;long;CVCVCV;CVCVC;1
petit;1;5;3700.98;ADJ;frequents;court;CVCVC;CVCV;0
pétri;1;5;0.42;VER;rares;court;CVCCV;CVCCV;0
piano;1;5;62.91;NC;frequents;court;CVVCV;CYVCV;0
pie;1;3;110.52;NC;frequents;court;CVV;CV;0
pile;1;4;88.02;NC;frequents;court;CVCV;CVC;1
pilote;1;6;34.95;NC;rares;long;CVCVCV;CVCVC;1
pipe;1;4;90.99;NC;frequents;court;CVCV;CVC;1
pirate;1;6;43.58;NC;frequents;long;CVCVCV;CVCVC;1
piste;1;5;105.85;NC;frequents;court;CVCCV;CVCC;0
pli;1;3;10.33;NC;rares;court;CCV;CCV;0
plu;1;3;36.73;VER;rares;court;CCV;CCV;0
plume;1;5;112.23;NC;frequents;court;CCVCV;CCVC;0
poche;1;5;159.91;NC;frequents;court;CVCCV;CVC;0
poli;1;4;19.03;ADJ;rares;court;CVCV;CVCV;1
porte;1;5;544.91;NC;frequents;court;CVCCV;CVCC;0
poste;1;5;159.59;NC;frequents;court;CVCCV;CVCC;0
poule;1;5;183.83;NC;frequents;court;CVVCV;CVC;0
poupée;1;6;178.76;NC;frequents;long;CVVCVV;CVCV;0
pour;1;4;5832.38;PRE;frequents;court;CVVC;CVC;0
poux;1;4;15.64;NC;rares;court;CVVC;CV;0
prix;1;4;98.36;NC;frequents;court;CCVC;CCV;0
proche;1;6;0.76;ADJ;rares;long;CCVCCV;CCVC;0
prune;1;5;15.28;NC;rares;court;CCVCV;CCVC;0
pu;1;2;84.06;VER;frequents;court;CV;CV;0
rapide;1;6;143.76;ADJ;frequents;long;CVCVCV;CVCVC;1
tapis;1;5;221.51;NC;frequents;court;CVCVC;CVCV;0
toupie;1;6;27.16;NC;rares;long;CVVCVV;CVCV;0
arc;2;3;22.23;NC;rares;court;VCC;VCC;0
cacao;2;5;38.91;NC;rares;court;CVCVV;CVCVV;0
café;2;4;122.05;NC;frequents;court;CVCV;CVCV;1
car;2;3;358.59;CON;frequents;court;CVC;CVC;0
carotte;2;7;3.72;NC;rares;long;CVCVCCV;CVCVC;0
carré;2;5;40.34;NC;frequents;court;CVCCV;CVCV;0
carte;2;5;187.67;NC;frequents;court;CVCCV;CVCC;0
cassé;2;5;114.62;VER;frequents;court;CVCCV;CVCV;0
cave;2;4;94.61;NC;frequents;court;CVCV;CVC;1
chocolat;2;8;446.19;NC;frequents;long;CCVCVCVC;CVCVCV;0
clé;2;3;126.59;NC;frequents;court;CCV;CCV;0
cloche;2;6;58.91;NC;frequents;long;CCVCCV;CCVC;0
clou;2;4;70.22;NC;frequents;court;CCVV;CCV;0
coco;2;4;6.55;NC;rares;court;CVCV;CVCV;1
colle;2;5;81.11;NC;frequents;court;CVCCV;CVC;0
cou;2;3;169.06;NC;frequents;court;CVV;CV;0
coucou;2;6;22.34;NC;rares;long;CVVCVV;CVCV;0
coude;2;5;21.97;NC;rares;court;CVVCV;CVC;0
coupe;2;5;127.35;VER;frequents;court;CVVCV;CVC;0
coupé;2;5;31.82;VER;rares;court;CVVCV;CVCV;0
courir;2;6;118.7;VER;frequents;long;CVVCVC;CVCVC;0
cri;2;3;73.54;NC;frequents;court;CCV;CCV;0
cru;2;3;27.23;VER;rares;court;CCV;CCV;0
culotte;2;7;65.04;NC;frequents;long;CVCVCCV;CVCVC;0
éclat;2;5;3.89;NC;rares;court;VCCVC;VCCV;0
école;2;5;1076.05;NC;frequents;court;VCVCV;VCVC;1
écrire;2;6;156.49;VER;frequents;long;VCCVCV;VCCVC;0
lac;2;3;107.33;NC;frequents;court;CVC;CVC;0
parc;2;4;82;NC;frequents;court;CVCC;CVCC;0
pic;2;3;33.11;NC;rares;court;CVC;CVC;0
sac;2;3;484.38;NC;frequents;court;CVC;CVC;0
sucre;2;5;307.93;NC;frequents;court;CVCCV;CVCC;0
abri;2;4;104.17;NC;frequents;court;VCCV;VCCV;0
arbre;2;5;398.19;NC;frequents;court;VCCCV;VCCC;0
bac;2;3;3.89;NC;rares;court;CVC;CVC;0
balade;2;6;1.22;NC;rares;long;CVCVCV;CVCVC;1
balle;2;5;168.07;NC;frequents;court;CVCCV;CVC;0
banane;2;6;96.86;NC;frequents;long;CVCVCV;CVCVC;1
bas;2;3;61.11;NC;frequents;court;CVC;CV;0
bébé;2;4;379.08;NC;frequents;court;CVCV;CVCV;1
biche;2;5;13.26;NC;rares;court;CVCCV;CVC;0
bijou;2;5;10.6;NC;rares;court;CVCVV;CVCV;0
blé;2;3;90.91;NC;frequents;court;CCV;CCV;0
boa;2;3;16.21;NC;rares;court;CVV;CVV;0
bol;2;3;123.06;NC;frequents;court;CVC;CVC;0
bouche;2;6;173.57;NC;frequents;long;CVVCCV;CVC;0
